"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1","aceK",1,0,0.125,0.125,0,0.125,0.375,0,0.125,0.125,0,0,0
"2","acnA",1,0,0.0384615384615385,0.307692307692308,0.230769230769231,0.0384615384615385,0,0.0384615384615385,0.153846153846154,0,0.153846153846154,0.0384615384615385,0
"3","add",0,1,0,0,0,0,0,0,0,0,0,0,0
"4","ahpF",1,0,0,0.333333333333333,0,0.166666666666667,0,0,0.166666666666667,0,0.333333333333333,0,0
"5","alaT",1,0,0.1,0.5,0.1,0.1,0.1,0,0,0.1,0,0,0
"6","alaU",1,0,0.181818181818182,0.454545454545455,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0,0
"7","aroA",0,1,0,0,0,0,0,0,0,0,0,0,0
"8","aroH",0,1,0,0,0,0,0,0,0,0,0,0,0
"9","aroP",1,0,0.333333333333333,0,0,0.166666666666667,0,0,0.5,0,0,0,0
"10","bcsE",0,1,0,0,0,0,0,0,0,0,0,0,0
"11","cyaA",0,1,0,0,0,0,0,0,0,0,0,0,0
"12","cyoB",1,0,0.024390243902439,0.121951219512195,0.146341463414634,0.0487804878048781,0.0731707317073171,0.0975609756097561,0.0731707317073171,0.195121951219512,0.0487804878048781,0.170731707317073,0
"13","dadA",0,1,0,0,0,0,0,0,0,0,0,0,0
"14","dadX",0,1,0,0,0,0,0,0,0,0,0,0,0
"15","acrR",0,1,0,0,0,0,0,0,0,0,0,0,0
"16","alx",0,1,0,0,0,0,0,0,0,0,0,0,0
"17","atpH",0,1,0,0,0,0,0,0,0,0,0,0,0
"18","bax",0,1,0,0,0,0,0,0,0,0,0,0,0
"19","bioB",0,1,0,0,0,0,0,0,0,0,0,0,0
"20","borD",1,0,0,0,1,0,0,0,0,0,0,0,0
"21","btuB",0,1,0,0,0,0,0,0,0,0,0,0,0
"22","cirA",1,0,0.111111111111111,0.111111111111111,0,0.333333333333333,0,0,0.444444444444444,0,0,0,0
